date,slot,answer,telegram_message_ts,action_suggested
2025-08-16,09:00,0,2025-08-16T09:35:54,
2025-08-16,15:00,0,2025-08-16T10:05:16,
2025-08-16,15:00,0,2025-08-16T10:06:49,
2025-08-16,15:00,1,2025-08-16T10:07:50,Balade Katajanokka
2025-08-16,15:00,0,2025-08-16T10:11:47,Balade Katajanokka | Sauna | Baignade | Pompes/Gainage
2025-08-17,09:00,0,2025-08-17T11:35:16+03:00,Balade Katajanokka | Sauna | Baignade | Pompes/Gainage
2025-08-17,09:00,0,2025-08-17T12:14:04+03:00,Balade Katajanokka | Sauna | Baignade | Pompes/Gainage
2025-08-17,09:00,0,2025-08-17T12:22:08+03:00,Balade Katajanokka | Sauna | Baignade | Pompes/Gainage
2025-08-17,15:00,0,2025-08-17T14:49:51+03:00,Balade Katajanokka | Sauna | Baignade | Pompes/Gainage
2025-08-17,21:00,1,2025-08-17T21:15:22+03:00,
2025-08-18,09:00,1,2025-08-18T08:55:48+03:00,
2025-08-18,15:00,1,2025-08-18T15:11:21+03:00,
2025-08-18,21:00,0,2025-08-18T21:00:00+03:00,Balade Katajanokka | Sauna | Baignade | Pompes/Gainage
2025-08-19,09:00,1,2025-08-19T08:53:10+03:00,
2025-08-19,15:00,1,2025-08-19T14:50:25+03:00,
2025-08-21,09:00,0,2025-08-21T09:01:56+03:00,Balade Katajanokka | Sauna | Baignade | Pompes/Gainage
